position,mask,active,move#,counts0,counts1,counts2,counts3,counts4,counts5,counts6
0,0,1,0,300,400,700,2300,800,200,300
0,0,1,0,100,300,400,3400,400,200,200
0,0,1,0,300,200,500,2900,400,400,300
0,0,1,0,300,100,600,3500,200,200,100
0,0,1,0,200,500,600,2700,300,200,500
0,0,1,0,300,200,500,3300,300,300,100
0,0,1,0,200,500,100,3000,600,400,200
0,0,1,0,200,300,500,3100,500,200,200
0,0,1,0,100,400,300,3400,400,200,200
0,0,1,0,200,500,700,2800,400,200,200
0,2097152,1,1,600,300,1700,1400,500,200,300
0,2097152,1,1,200,300,1100,1200,1400,500,300
0,2097152,1,1,300,700,800,1200,1100,600,300
0,2097152,1,1,300,600,700,600,1200,900,700
0,2097152,1,1,500,600,1000,900,1300,400,300
0,2097152,1,1,400,300,1200,1000,700,900,500
0,2097152,1,1,200,500,1600,1100,500,700,400
0,2097152,1,1,300,400,1400,1300,800,500,300
0,2097152,1,1,200,300,1000,1400,1400,300,400
0,2097152,1,1,500,300,1100,1200,1300,300,300
2097152,2113536,1,2,300,200,800,3000,300,200,200
2097152,270532608,1,2,500,300,500,2500,700,200,300
2097152,6291456,1,2,500,400,1100,200,2100,500,200
2097152,270532608,1,2,700,300,400,2300,700,300,300
2097152,270532608,1,2,200,300,300,2100,1600,300,200
2097152,2113536,1,2,300,100,1400,1700,700,400,400
2097152,2113536,1,2,200,200,1100,2500,500,300,200
2097152,2113536,1,2,200,200,900,2700,100,500,400
2097152,6291456,1,2,300,500,1500,400,1500,400,400
2097152,270532608,1,2,500,700,400,2400,700,200,100
16384,6307840,1,3,100,100,1000,2900,300,300,300
268435456,274726912,1,3,200,600,500,2900,400,200,200
4194304,274726912,1,3,100,400,2000,300,100,1800,300
268435456,274726912,1,3,400,200,200,3000,800,200,200
268435456,274726912,1,3,500,300,300,2400,1100,200,200
16384,6307840,1,3,200,200,700,2900,400,300,300
16384,6307840,1,3,200,100,1600,2300,200,200,400
16384,6307840,1,3,200,200,1600,2100,200,400,300
4194304,6307840,1,3,300,1500,100,300,2400,300,100
268435456,274726912,1,3,100,200,300,2800,1200,200,200
6291456,14696448,1,4,500,200,1600,1100,400,700,500
6291456,283115520,1,4,500,200,400,1500,1900,200,300
270532608,274743296,1,4,200,100,300,500,300,1000,2600
6291456,283115520,1,4,800,500,600,900,1700,300,200
6291456,283115520,1,4,1000,800,200,1200,1500,200,100
6291456,14696448,1,4,400,300,1900,600,300,900,600
6291456,14696448,1,4,200,600,2100,600,400,600,500
6291456,14696448,1,4,800,300,1800,600,300,700,500
2113536,274743296,1,4,2800,1400,200,200,200,100,100
6291456,283115520,1,4,900,600,500,1000,1300,400,300
8404992,14729216,1,5,200,200,1400,1700,300,700,500
276824064,819986432,1,5,200,500,200,2300,1300,200,300
4210688,4398321254400,1,5,100,100,100,100,100,4400,100
276824064,819986432,1,5,400,900,200,1500,1500,100,400
276824064,819986432,1,5,300,700,400,2300,1000,100,200
8404992,14729216,1,5,300,200,1400,1900,300,600,300
8404992,14729216,1,5,200,200,1300,2200,200,400,500
8404992,14729216,1,5,300,200,1000,1900,400,500,700
272629760,274743297,1,5,100,4400,100,100,100,100,100
276824064,819986432,1,5,500,400,200,2000,1500,100,300
6324224,31506432,1,6,800,200,700,1700,600,600,400
543162368,836763648,1,6,500,1100,400,1800,500,300,400
4398317043712,4432680992768,1,6,200,100,1100,300,2100,600,600
543162368,836763648,1,6,400,500,300,2500,900,200,200
543162368,836763648,1,6,300,500,400,1800,1300,300,400
6324224,31506432,1,6,500,300,1100,1100,300,800,900
