position,mask,active,move#,counts0,counts1,counts2,counts3,counts4,counts5,counts6
0,0,1,0,200,100,400,3200,500,300,300
0,0,1,0,200,200,300,3600,200,400,100
0,0,1,0,200,300,300,3400,200,300,300
0,0,1,0,200,300,400,3500,200,300,100
0,0,1,0,300,500,400,3100,300,200,200
0,0,1,0,200,200,500,3300,200,300,300
0,0,1,0,100,200,600,3300,300,300,200
0,0,1,0,200,300,1000,2400,400,600,100
0,0,1,0,300,300,300,3300,500,100,200
0,0,1,0,200,400,500,3100,400,200,200
0,0,1,0,300,300,500,3000,400,300,200
0,0,1,0,300,200,600,2900,600,200,200
0,0,1,0,200,100,200,3200,800,200,300
0,0,1,0,200,300,200,3600,200,200,300
0,0,1,0,200,300,500,3100,600,100,200
0,0,1,0,200,400,300,3300,300,300,200
0,0,1,0,200,400,500,3000,200,500,200
0,0,1,0,300,400,600,3000,100,300,300
0,0,1,0,200,500,900,2300,600,300,200
0,0,1,0,200,200,400,2600,1000,400,200
0,0,1,0,300,200,200,3400,400,200,300
0,0,1,0,200,300,600,2900,500,300,200
0,0,1,0,300,200,300,3300,500,100,300
0,0,1,0,100,600,600,2400,900,200,200
0,0,1,0,200,200,500,3300,500,100,200
0,0,1,0,200,200,400,3300,200,400,300
0,0,1,0,300,200,600,3100,200,400,200
0,0,1,0,200,200,400,3500,300,200,200
0,0,1,0,200,300,600,3200,200,300,200
0,0,1,0,100,300,200,3600,200,500,100
0,0,1,0,200,200,700,2900,400,400,200
0,0,1,0,200,300,500,3400,300,200,100
0,0,1,0,200,200,600,2900,500,400,200
0,0,1,0,200,200,200,3400,300,500,200
0,0,1,0,200,400,300,2900,700,300,200
0,0,1,0,300,500,500,2800,300,300,300
0,0,1,0,200,300,600,3200,300,300,100
0,0,1,0,200,300,600,3000,300,400,200
0,0,1,0,300,100,200,3500,200,600,100
0,0,1,0,300,200,400,3400,300,300,100
0,0,1,0,200,200,600,3200,200,300,300
0,0,1,0,200,200,300,3700,300,200,100
0,0,1,0,400,200,500,3100,400,300,100
0,0,1,0,200,200,400,3300,200,500,200
0,0,1,0,200,300,500,2900,400,500,200
0,0,1,0,200,400,200,3100,400,400,300
0,0,1,0,300,300,500,2900,400,400,200
0,0,1,0,200,300,600,3000,400,300,200
0,0,1,0,300,300,600,3000,400,100,300
0,0,1,0,100,300,100,3500,700,200,100
0,0,1,0,300,200,200,3500,300,300,200
0,0,1,0,200,300,500,2900,500,200,400
0,0,1,0,200,200,400,3400,400,200,200
0,0,1,0,200,400,100,3600,300,200,200
0,0,1,0,200,100,700,3500,300,100,100
0,0,1,0,200,200,400,3500,300,300,100
0,0,1,0,200,400,400,3200,300,200,300
0,0,1,0,300,300,400,2900,600,300,200
0,0,1,0,100,600,300,3000,400,300,300
0,0,1,0,200,400,800,2600,600,200,200
0,0,1,0,200,400,300,3400,200,300,200
0,0,1,0,500,500,600,2500,300,300,300
0,0,1,0,300,200,500,3000,400,200,400
0,0,1,0,200,300,200,3600,400,100,200
0,0,1,0,300,100,500,2600,700,300,500
0,0,1,0,200,300,500,3000,600,200,200
0,0,1,0,200,300,800,2600,500,300,300
0,0,1,0,200,400,700,2700,300,400,300
0,0,1,0,300,100,300,3100,800,100,300
0,0,1,0,100,200,500,3200,700,100,200
0,0,1,0,400,200,600,2800,500,200,300
0,0,1,0,200,400,400,2800,700,200,300
0,0,1,0,400,400,200,3200,400,200,200
0,0,1,0,100,200,600,2900,600,400,200
0,0,1,0,200,300,600,2900,400,400,200
0,0,1,0,300,300,400,3300,400,200,100
0,0,1,0,300,200,400,3300,400,200,200
0,0,1,0,200,200,700,2800,600,300,200
0,0,1,0,300,300,500,2900,400,200,400
0,0,1,0,300,400,400,3400,200,200,100
0,0,1,0,300,300,300,2800,800,300,200
0,0,1,0,200,200,400,3100,500,300,300
0,0,1,0,200,200,500,3400,200,300,200
0,0,1,0,100,200,500,3200,500,300,200
0,0,1,0,300,300,400,3300,500,100,100
0,0,1,0,200,300,700,2400,700,400,300
0,0,1,0,300,500,300,2700,500,500,200
0,0,1,0,200,300,400,3300,400,100,300
0,0,1,0,100,200,500,3100,500,400,200
0,0,1,0,200,200,400,3200,700,100,200
0,0,1,0,200,300,300,3500,200,300,200
0,0,1,0,100,200,600,3000,500,400,200
0,0,1,0,300,200,700,2600,500,600,100
0,0,1,0,300,200,600,3000,300,300,300
0,0,1,0,300,300,500,3200,300,200,200
0,0,1,0,300,200,400,3000,600,300,200
0,0,1,0,100,300,400,3100,500,400,200
0,0,1,0,200,300,800,2200,900,500,100
0,0,1,0,200,200,600,3100,600,200,100
0,0,1,0,200,100,300,3500,500,100,300
0,2097152,1,1,300,300,1600,900,1200,400,300
0,2097152,1,1,300,400,2100,1100,300,500,300
0,2097152,1,1,300,700,1200,1500,700,300,300
0,2097152,1,1,500,300,600,1900,800,600,300
0,2097152,1,1,300,500,500,1600,600,1100,400
0,2097152,1,1,400,400,1000,1300,1000,600,300
0,2097152,1,1,100,400,400,1900,1400,500,300
0,2097152,1,1,200,500,500,1200,2000,400,200
0,2097152,1,1,300,400,700,1000,1800,500,300
0,2097152,1,1,300,500,1200,1300,900,500,300
0,2097152,1,1,200,700,1200,700,1100,900,200
0,2097152,1,1,200,400,1000,1400,1000,700,300
0,2097152,1,1,400,600,600,1300,1300,400,400
0,2097152,1,1,300,500,600,800,1900,400,500
0,2097152,1,1,400,300,300,1700,1400,600,300
0,2097152,1,1,200,500,1500,1100,1000,400,300
0,2097152,1,1,500,700,600,1700,700,400,400
0,2097152,1,1,400,500,1500,400,1400,500,300
0,2097152,1,1,100,400,100,1300,2100,700,300
0,2097152,1,1,100,500,1600,1400,700,400,300
0,2097152,1,1,300,600,400,1200,1400,800,300
0,2097152,1,1,300,300,1000,2100,700,300,300
0,2097152,1,1,600,400,900,1300,1100,400,300
0,2097152,1,1,200,400,1800,1000,600,700,300
0,2097152,1,1,200,200,2000,600,1300,500,200
0,2097152,1,1,300,600,1200,500,1500,600,300
0,2097152,1,1,200,300,1200,1600,900,600,200
0,2097152,1,1,400,600,1300,1300,400,600,400
0,2097152,1,1,300,500,1200,1200,1200,400,200
0,2097152,1,1,500,300,300,1800,1200,400,500
0,2097152,1,1,300,700,800,1500,700,700,300
0,2097152,1,1,300,300,600,1400,1700,500,200
0,2097152,1,1,500,600,1000,1200,800,400,500
0,2097152,1,1,200,400,900,1800,900,600,200
0,2097152,1,1,200,500,2400,500,700,400,300
0,2097152,1,1,300,400,900,600,1800,800,200
0,2097152,1,1,200,500,1100,600,1500,800,300
0,2097152,1,1,300,600,1700,1100,700,300,300
0,2097152,1,1,400,400,1600,700,1100,300,500
0,2097152,1,1,200,600,1300,1200,1100,300,300
0,2097152,1,1,200,200,1000,1500,1500,400,200
0,2097152,1,1,200,800,700,2100,600,300,300
0,2097152,1,1,300,500,700,1000,1400,500,600
0,2097152,1,1,400,600,900,1700,500,800,100
0,2097152,1,1,400,900,1600,600,800,500,200
0,2097152,1,1,200,700,1500,1100,500,600,400
0,2097152,1,1,500,700,1400,900,900,400,200
0,2097152,1,1,300,800,1400,1400,300,500,300
0,2097152,1,1,400,400,1500,1000,1200,300,200
0,2097152,1,1,200,600,1500,800,1200,400,300
0,2097152,1,1,400,400,1100,600,1000,700,800
0,2097152,1,1,400,300,1900,1100,500,500,300
0,2097152,1,1,300,600,1300,700,1500,400,200
0,2097152,1,1,300,400,1200,1500,900,400,300
0,2097152,1,1,200,500,1100,1700,700,500,300
0,2097152,1,1,100,500,1100,1700,1000,500,100
0,2097152,1,1,300,400,700,800,2300,100,400
0,2097152,1,1,400,800,900,1000,800,600,500
0,2097152,1,1,200,600,1300,1100,800,500,500
0,2097152,1,1,200,400,1100,900,1500,600,300
0,2097152,1,1,200,700,1200,800,1400,300,400
0,2097152,1,1,500,400,800,1300,1200,500,300
0,2097152,1,1,300,500,800,800,1700,400,500
0,2097152,1,1,200,400,1100,1100,1200,700,300
0,2097152,1,1,400,600,1600,700,700,500,500
0,2097152,1,1,300,600,1700,600,900,700,200
0,2097152,1,1,100,300,1200,1500,900,400,600
0,2097152,1,1,300,400,700,1300,1400,600,300
0,2097152,1,1,300,300,1100,1400,1100,500,300
0,2097152,1,1,200,500,1600,2000,400,100,200
0,2097152,1,1,300,600,900,900,1400,500,400
0,2097152,1,1,300,700,900,1500,600,500,500
0,2097152,1,1,600,400,700,1500,1300,300,200
0,2097152,1,1,400,300,1800,1400,300,600,200
0,2097152,1,1,300,700,1400,900,1000,500,200
0,2097152,1,1,300,500,600,600,1800,700,500
0,2097152,1,1,500,400,800,1300,700,700,600
0,2097152,1,1,200,1000,1300,800,1200,200,300
0,2097152,1,1,200,700,600,1900,700,500,400
0,2097152,1,1,300,700,1700,500,700,800,300
0,2097152,1,1,300,300,1900,1400,500,200,400
0,2097152,1,1,300,200,500,1900,900,800,400
0,2097152,1,1,500,300,1300,1500,700,400,300
0,2097152,1,1,200,900,1100,1100,800,600,300
0,2097152,1,1,500,500,600,1300,900,1100,100
0,2097152,1,1,100,700,1000,1500,800,700,200
0,2097152,1,1,500,200,1700,1200,400,600,400
0,2097152,1,1,300,300,1800,1100,900,300,300
0,2097152,1,1,500,500,900,1200,1000,700,200
0,2097152,1,1,500,500,1700,800,1200,100,200
0,2097152,1,1,400,100,1200,1000,1400,600,300
0,2097152,1,1,400,700,900,1100,1300,300,300
0,2097152,1,1,500,400,700,1900,900,300,300
0,2097152,1,1,200,400,1700,1300,700,500,200
0,2097152,1,1,200,500,600,1800,600,900,400
0,2097152,1,1,400,500,500,1600,1300,400,300
0,2097152,1,1,300,500,900,1900,800,300,300
0,2097152,1,1,400,600,2100,400,1000,200,300
0,2097152,1,1,300,600,900,300,1800,800,300
0,2097152,1,1,300,500,1400,1000,1300,300,200
2097152,2113536,1,2,400,200,600,2700,100,500,500
2097152,2113536,1,2,300,100,1000,2900,200,300,200
2097152,6291456,1,2,300,300,1600,700,1100,500,500
2097152,6291456,1,2,400,400,1400,800,800,1000,200
2097152,6291456,1,2,500,500,1900,500,800,600,200
2097152,6291456,1,2,500,700,1000,600,1100,900,200
2097152,6291456,1,2,200,500,1800,600,1100,400,400
2097152,270532608,1,2,300,200,300,2900,1000,100,200
2097152,270532608,1,2,600,300,200,3300,300,200,100
2097152,6291456,1,2,500,800,1000,400,1600,300,400
2097152,2113536,1,2,200,200,500,2900,300,500,400
2097152,6291456,1,2,300,300,2200,500,700,500,500
2097152,6291456,1,2,300,1200,400,600,1400,500,600
2097152,270532608,1,2,300,400,200,2700,1000,200,200
2097152,6291456,1,2,500,400,1400,600,1000,800,300
2097152,2113536,1,2,500,100,1100,2200,500,200,400
2097152,6291456,1,2,200,400,2000,600,900,400,500
2097152,2113536,1,2,300,200,400,2600,300,300,900
2097152,270532608,1,2,500,700,200,2600,400,300,300
2097152,2113536,1,2,300,100,500,2900,500,300,400
2097152,270532608,1,2,700,600,300,1500,1500,200,200
2097152,6291456,1,2,500,200,1800,300,1000,800,400
2097152,6291456,1,2,300,300,2200,600,800,500,300
2097152,2113536,1,2,200,100,600,3300,200,300,300
2097152,2113536,1,2,200,100,1200,2300,400,600,200
2097152,270532608,1,2,300,600,400,2800,400,200,300
2097152,6291456,1,2,300,600,1600,400,1400,200,500
2097152,6291456,1,2,300,600,1200,100,2100,500,200
2097152,270532608,1,2,200,400,100,3500,200,300,300
2097152,6291456,1,2,300,400,1600,500,1300,400,500
2097152,6291456,1,2,300,200,1500,400,1800,400,400
2097152,270532608,1,2,200,800,400,2700,700,100,100
2097152,6291456,1,2,400,500,2000,200,1300,300,300
2097152,6291456,1,2,400,500,1100,400,1800,400,400
2097152,2113536,1,2,200,100,800,3200,300,200,200
2097152,270532608,1,2,400,700,300,1600,1400,300,300
2097152,270532608,1,2,400,500,400,2800,600,200,100
2097152,2113536,1,2,200,200,700,2900,400,300,300
2097152,2113536,1,2,200,200,800,2900,200,400,300
2097152,2113536,1,2,400,300,800,2400,300,400,400
2097152,6291456,1,2,500,400,1800,700,1200,300,100
2097152,6291456,1,2,400,600,1600,600,1000,500,300
2097152,270532608,1,2,700,400,200,2500,800,300,100
2097152,6291456,1,2,200,200,1900,400,1500,600,200
2097152,2113536,1,2,200,200,500,3100,300,300,400
2097152,2113536,1,2,200,100,1100,2200,200,800,400
2097152,2113536,1,2,200,200,1100,2300,300,400,500
2097152,6291456,1,2,400,800,1400,200,1700,400,100
2097152,2113536,1,2,200,200,500,2900,200,400,600
2097152,2113536,1,2,200,100,400,2800,300,500,700
2097152,2113536,1,2,200,100,1000,2500,300,400,500
2097152,2113536,1,2,200,300,1100,1900,300,700,500
2097152,270532608,1,2,600,400,100,2400,1200,100,200
2097152,6291456,1,2,300,400,1900,400,1100,400,500
2097152,6291456,1,2,300,200,1600,300,1900,400,300
2097152,6291456,1,2,300,600,1500,300,1700,200,400
2097152,270532608,1,2,400,200,200,2500,1100,400,200
2097152,6291456,1,2,300,300,1900,600,1200,400,300
2097152,2113536,1,2,400,100,900,2400,200,600,400
2097152,270532608,1,2,300,500,200,2700,900,200,200
2097152,270532608,1,2,500,500,400,2100,900,200,400
2097152,6291456,1,2,400,500,2400,200,700,500,300
2097152,270532608,1,2,700,400,500,2400,600,100,300
2097152,270532608,1,2,400,600,400,2800,500,200,100
2097152,2113536,1,2,400,100,800,2400,300,800,200
2097152,2113536,1,2,300,200,1000,2400,300,200,600
2097152,6291456,1,2,300,500,1800,500,700,800,400
2097152,270532608,1,2,300,300,400,3200,500,100,200
2097152,6291456,1,2,400,400,700,700,2100,400,300
2097152,6291456,1,2,500,700,1800,600,500,400,500
2097152,270532608,1,2,200,700,300,2100,1300,200,200
2097152,6291456,1,2,200,700,1900,800,900,300,200
2097152,6291456,1,2,200,700,1600,500,1200,400,400
2097152,2113536,1,2,200,100,800,2300,200,600,800
2097152,2113536,1,2,200,300,700,2100,500,600,600
2097152,270532608,1,2,500,500,300,2300,1200,100,100
2097152,6291456,1,2,500,600,1800,400,700,600,400
2097152,2113536,1,2,100,100,900,2900,300,300,400
2097152,6291456,1,2,400,300,1200,900,1400,500,300
2097152,2113536,1,2,200,200,700,2400,400,400,700
2097152,2113536,1,2,300,300,900,2000,400,500,600
2097152,6291456,1,2,300,400,900,600,1800,500,500
2097152,6291456,1,2,200,700,1300,500,1400,500,400
2097152,6291456,1,2,400,400,1900,600,1200,300,200
2097152,6291456,1,2,300,200,1200,600,1300,1000,400
2097152,6291456,1,2,100,700,1200,900,1100,600,400
2097152,2113536,1,2,300,200,1100,2600,200,200,400
2097152,2113536,1,2,400,200,2000,1500,300,200,400
2097152,6291456,1,2,200,1200,600,600,1300,1000,100
2097152,2113536,1,2,200,200,600,2300,700,400,600
2097152,270532608,1,2,500,500,300,2000,1300,200,200
2097152,270532608,1,2,400,200,200,3100,800,100,200
2097152,6291456,1,2,600,600,800,500,1900,400,200
2097152,2113536,1,2,300,300,1300,1800,200,200,900
2097152,6291456,1,2,400,400,1500,300,1100,1000,300
2097152,6291456,1,2,200,600,1300,500,1600,600,200
2097152,6291456,1,2,300,900,500,200,2500,300,300
2097152,2113536,1,2,300,100,2000,1500,400,400,300
2097152,270532608,1,2,500,600,400,2100,1100,200,100
2097152,2113536,1,2,200,200,900,2100,600,300,700
16384,6307840,1,3,300,300,1600,2100,200,200,300
16384,6307840,1,3,200,200,1400,2200,300,300,400
4194304,6307840,1,3,200,1500,200,300,2300,300,200
4194304,6307840,1,3,400,2400,100,200,1600,200,100
4194304,6307840,1,3,300,2100,200,300,1600,400,100
4194304,274726912,1,3,100,300,1700,200,200,2300,200
4194304,6307840,1,3,300,1800,200,200,1900,400,200
268435456,274726912,1,3,200,300,400,3100,600,200,200
268435456,274726912,1,3,300,500,100,3000,700,200,200
4194304,274726912,1,3,100,300,1400,200,300,2400,300
16384,6307840,1,3,200,200,1400,2200,300,300,400
4194304,6307840,1,3,300,2700,300,100,1100,300,200
4194304,274726912,1,3,200,300,2100,200,100,1800,300
268435456,274726912,1,3,300,400,300,2400,1300,100,200
4194304,6307840,1,3,200,2000,300,200,1800,400,100
16384,6307840,1,3,200,200,1000,2700,400,100,400
4194304,6307840,1,3,200,1600,200,200,2200,400,200
16384,6307840,1,3,100,100,1200,2300,200,600,500
268435456,274726912,1,3,300,200,200,3400,400,200,300
16384,6307840,1,3,200,200,2500,1400,200,200,300
268435456,807403520,1,3,400,800,500,2200,600,300,200
4194304,6307840,1,3,200,1700,300,300,2000,300,200
4194304,6307840,1,3,200,2100,200,200,1900,300,100
16384,6307840,1,3,200,200,800,2900,200,400,300
16384,6307840,1,3,400,200,500,3200,200,300,200
268435456,274726912,1,3,500,500,300,2800,600,100,200
4194304,6307840,1,3,300,1200,200,400,2300,500,100
4194304,274726912,1,3,200,400,2600,300,100,600,800
268435456,274726912,1,3,300,200,400,2600,1100,200,200
4194304,6307840,1,3,500,1700,300,400,1900,100,100
4194304,274726912,1,3,200,300,1700,200,200,2200,200
268435456,274726912,1,3,400,300,300,2300,1300,200,200
4194304,6307840,1,3,200,1400,200,400,2200,500,100
4194304,274726912,1,3,100,200,2300,300,200,1600,300
16384,6307840,1,3,100,200,200,3700,200,300,300
268435456,274726912,1,3,200,800,300,2600,800,100,200
268435456,274726912,1,3,500,300,200,3200,300,200,300
16384,6307840,1,3,300,200,1300,2500,200,300,200
16384,6307840,1,3,200,200,1100,2700,200,400,200
16384,6307840,1,3,100,300,600,3400,200,200,200
4194304,6307840,1,3,300,2500,200,200,1400,300,100
4194304,6307840,1,3,400,2200,200,200,1700,200,100
268435456,274726912,1,3,500,300,200,1800,1700,100,400
4194304,6307840,1,3,200,2500,200,300,1500,200,100
16384,6307840,1,3,200,200,700,3100,400,200,200
16384,6307840,1,3,200,100,500,3500,200,300,200
16384,6307840,1,3,300,200,1000,2600,400,300,200
4194304,274726912,1,3,100,300,2400,600,300,1000,300
16384,6307840,1,3,100,300,900,2800,400,200,300
16384,6307840,1,3,200,100,900,3000,300,300,200
16384,6307840,1,3,200,200,2200,1400,300,500,200
16384,6307840,1,3,200,200,1400,2300,300,300,300
268435456,274726912,1,3,300,200,300,2700,1100,200,200
4194304,6307840,1,3,100,2100,200,200,1800,400,200
4194304,274726912,1,3,100,200,2000,400,300,1800,200
4194304,274726912,1,3,100,200,1800,200,200,2200,300
268435456,274726912,1,3,300,200,400,2200,1300,300,300
4194304,6307840,1,3,200,2900,200,200,1200,200,100
16384,6307840,1,3,300,200,1000,2400,300,500,300
268435456,274726912,1,3,500,500,200,2600,900,200,100
268435456,274726912,1,3,300,300,300,3100,700,200,100
4194304,6307840,1,3,100,2200,300,100,1800,400,100
268435456,274726912,1,3,100,400,300,2300,1600,200,100
268435456,274726912,1,3,200,400,300,3100,700,100,200
16384,6307840,1,3,200,200,500,3200,400,200,300
16384,6307840,1,3,200,300,700,3200,200,300,100
4194304,6307840,1,3,100,3100,100,400,900,300,100
268435456,274726912,1,3,300,400,300,3100,500,100,300
4194304,274726912,1,3,100,200,1800,300,300,2100,200
4194304,6307840,1,3,400,1600,200,200,2200,300,100
268435456,274726912,1,3,200,400,100,2900,1200,100,100
4194304,6307840,1,3,200,1500,300,500,2100,200,200
4194304,6307840,1,3,100,800,400,200,3100,300,100
16384,6307840,1,3,200,200,1100,2400,300,400,400
16384,6307840,1,3,200,200,1000,3000,300,200,100
268435456,274726912,1,3,300,400,200,2800,900,200,200
4194304,6307840,1,3,100,1600,200,200,2500,300,100
16384,6307840,1,3,200,200,1500,2000,200,400,500
4194304,274726912,1,3,100,200,1300,300,300,2400,400
16384,6307840,1,3,100,200,1400,2500,300,200,300
16384,6307840,1,3,200,100,600,3300,100,400,300
4194304,274726912,1,3,200,400,2500,200,200,1100,400
4194304,274726912,1,3,200,400,1700,300,200,1900,300
4194304,6307840,1,3,300,2300,200,100,1700,300,100
4194304,274726912,1,3,200,300,1200,300,200,2600,200
4194304,6307840,1,3,300,1500,200,300,2200,400,100
16384,6307840,1,3,300,100,1400,2000,400,400,400
16384,2146304,1,3,100,200,600,2100,600,900,500
4194304,274726912,1,3,100,300,1600,200,200,2400,200
16384,6307840,1,3,200,300,700,3000,200,400,200
268435456,274726912,1,3,700,200,300,2500,900,200,200
268435456,274726912,1,3,500,300,200,2000,1700,100,200
4194304,274726912,1,3,100,300,1700,200,200,1800,700
16384,6307840,1,3,300,300,700,3100,300,100,200
4194304,6307840,1,3,200,2900,200,200,1200,200,100
4194304,274726912,1,3,200,200,2900,200,300,1000,200
4194304,274726912,1,3,100,300,2200,100,200,1900,200
16384,2146304,1,3,200,100,500,2500,500,600,600
268435456,274726912,1,3,300,200,200,2700,1200,300,100
16384,6307840,1,3,200,200,500,3200,200,400,300
6291456,14696448,1,4,200,300,2100,600,300,1400,100
6291456,14696448,1,4,300,300,1700,700,400,900,700
2113536,274743296,1,4,3300,700,300,200,200,200,100
2113536,6307968,1,4,300,300,400,300,2100,1400,200
2113536,6307968,1,4,100,300,200,200,1400,2700,100
270532608,34634465280,1,4,200,2800,1000,300,500,100,100
2113536,274743296,1,4,3000,800,300,200,300,200,200
6291456,283115520,1,4,1500,1400,500,500,700,200,200
6291456,283115520,1,4,1200,900,300,900,1200,300,200
270532608,34634465280,1,4,200,3000,1000,100,300,200,200
6291456,14696448,1,4,300,200,1200,800,300,1000,1200
2113536,6307968,1,4,200,500,600,200,300,3100,100
270532608,274743296,1,4,200,100,300,300,200,800,3100
6291456,283115520,1,4,700,300,200,1000,2400,200,200
2113536,6307968,1,4,100,200,300,300,1200,2800,100
6291456,14696448,1,4,200,100,2100,400,300,900,1000
2113536,274743296,1,4,3200,1100,200,200,100,100,100
6291456,14696448,1,4,200,200,1800,700,600,700,800
6291456,283115520,1,4,500,500,200,800,2400,300,300
6291456,6340608,1,4,200,100,1800,2000,200,400,300
538968064,811597824,1,4,800,300,100,600,2800,200,200
2113536,274743296,1,4,3000,700,500,300,300,100,100
2113536,6307968,1,4,200,300,300,300,1500,2300,100
6291456,14696448,1,4,100,300,1000,600,500,1500,1000
6291456,14696448,1,4,100,400,1400,900,600,800,800
6291456,283115520,1,4,1100,500,500,400,2100,300,100
2113536,274743296,1,4,2800,1000,600,200,200,100,100
