position,mask,active,move#,counts0,counts1,counts2,counts3,counts4,counts5,counts6
0,0,1,0,10,10,760,190,10,10,10
0,0,1,0,10,20,820,120,10,10,10
0,0,1,0,10,50,10,860,50,10,10
0,0,1,0,10,10,850,100,10,10,10
0,0,1,0,10,10,760,190,10,10,10
0,0,1,0,10,10,780,160,20,10,10
0,0,1,0,10,10,830,100,30,10,10
0,0,1,0,20,10,610,330,10,10,10
0,0,1,0,10,10,760,190,10,10,10
0,0,1,0,10,10,10,940,10,10,10
0,0,1,0,10,10,830,110,10,20,10
0,0,1,0,10,10,810,140,10,10,10
0,0,1,0,10,10,30,910,20,10,10
0,0,1,0,10,10,740,190,30,10,10
0,0,1,0,10,10,10,940,10,10,10
0,0,1,0,10,10,810,120,20,10,20
0,0,1,0,10,20,780,160,10,10,10
0,0,1,0,10,10,780,150,10,30,10
0,0,1,0,20,10,770,170,10,10,10
0,0,1,0,10,10,840,110,10,10,10
0,0,1,0,10,10,740,210,10,10,10
0,0,1,0,10,10,70,860,20,20,10
0,0,1,0,10,60,10,890,10,10,10
0,0,1,0,10,10,530,420,10,10,10
0,0,1,0,30,10,10,920,10,10,10
0,0,1,0,10,10,40,890,20,20,10
0,0,1,0,10,10,670,280,10,10,10
0,0,1,0,10,10,850,100,10,10,10
0,0,1,0,10,30,730,200,10,10,10
0,0,1,0,10,10,820,130,10,10,10
0,0,1,0,10,10,720,220,10,20,10
0,0,1,0,10,10,310,630,20,10,10
0,0,1,0,10,20,20,920,10,10,10
0,0,1,0,10,10,10,940,10,10,10
0,0,1,0,10,10,750,200,10,10,10
0,0,1,0,10,10,720,230,10,10,10
0,0,1,0,10,10,710,240,10,10,10
0,0,1,0,10,10,770,170,20,10,10
0,0,1,0,10,10,660,280,10,20,10
0,0,1,0,10,10,440,510,10,10,10
0,0,1,0,10,20,10,930,10,10,10
0,0,1,0,10,10,840,110,10,10,10
0,0,1,0,10,10,740,210,10,10,10
0,0,1,0,10,10,610,330,10,20,10
0,0,1,0,10,10,770,180,10,10,10
0,0,1,0,10,20,90,850,10,10,10
0,0,1,0,10,10,750,200,10,10,10
0,0,1,0,10,10,30,900,30,10,10
0,0,1,0,10,10,820,130,10,10,10
0,0,1,0,10,10,560,380,20,10,10
0,0,1,0,10,40,720,200,10,10,10
0,0,1,0,10,10,520,420,10,20,10
0,0,1,0,10,10,540,410,10,10,10
0,0,1,0,10,20,810,130,10,10,10
0,0,1,0,10,10,10,940,10,10,10
0,0,1,0,10,30,10,890,40,10,10
0,0,1,0,10,10,750,200,10,10,10
0,0,1,0,20,10,790,110,50,10,10
0,0,1,0,10,10,10,940,10,10,10
0,0,1,0,10,10,690,260,10,10,10
0,0,1,0,10,10,680,270,10,10,10
0,0,1,0,10,10,740,210,10,10,10
0,0,1,0,10,40,840,70,10,20,10
0,0,1,0,10,10,850,100,10,10,10
0,0,1,0,10,10,820,130,10,10,10
0,0,1,0,10,10,840,110,10,10,10
0,0,1,0,10,10,810,140,10,10,10
0,0,1,0,10,10,820,130,10,10,10
0,0,1,0,10,10,710,240,10,10,10
0,0,1,0,10,10,800,150,10,10,10
0,0,1,0,10,10,810,140,10,10,10
0,0,1,0,10,20,50,890,10,10,10
0,0,1,0,10,10,810,140,10,10,10
0,0,1,0,10,10,20,930,10,10,10
0,0,1,0,10,20,800,130,10,20,10
0,0,1,0,10,10,490,450,20,10,10
0,0,1,0,10,10,860,90,10,10,10
0,0,1,0,10,50,790,120,10,10,10
0,0,1,0,20,10,500,430,10,20,10
0,0,1,0,10,10,420,520,10,20,10
0,0,1,0,10,10,750,200,10,10,10
0,0,1,0,10,10,640,310,10,10,10
0,0,1,0,10,10,610,320,20,20,10
0,0,1,0,10,50,140,750,10,30,10
0,0,1,0,10,40,710,210,10,10,10
0,0,1,0,10,10,820,110,20,20,10
0,0,1,0,10,10,10,920,30,10,10
0,0,1,0,10,10,780,170,10,10,10
0,0,1,0,20,10,10,930,10,10,10
0,0,1,0,10,10,10,940,10,10,10
0,0,1,0,10,40,490,430,10,10,10
0,0,1,0,10,10,10,930,20,10,10
0,0,1,0,10,10,850,100,10,10,10
0,0,1,0,10,10,510,440,10,10,10
0,0,1,0,10,10,30,920,10,10,10
0,0,1,0,10,10,790,160,10,10,10
0,0,1,0,10,30,10,920,10,10,10
0,0,1,0,10,10,540,410,10,10,10
0,0,1,0,20,10,40,900,10,10,10
0,0,1,0,10,10,820,130,10,10,10
0,2097152,1,1,20,590,10,50,290,10,30
0,268435456,1,1,10,150,30,780,10,10,10
0,268435456,1,1,10,10,10,860,10,90,10
0,128,1,1,10,40,10,840,80,10,10
0,2097152,1,1,10,70,160,60,660,10,30
0,16384,1,1,20,830,30,70,10,30,10
0,268435456,1,1,10,10,30,890,20,20,20
0,34359738368,1,1,20,350,50,550,10,10,10
0,16384,1,1,10,10,10,80,10,870,10
0,1,1,1,30,20,10,740,20,10,170
0,16384,1,1,40,760,10,80,10,90,10
0,128,1,1,20,20,10,870,30,20,30
0,128,1,1,20,20,10,900,10,10,30
0,2097152,1,1,20,100,310,90,460,10,10
0,2097152,1,1,20,70,40,140,690,20,20
0,4398046511104,1,1,10,10,150,800,10,10,10
0,2097152,1,1,10,60,360,70,480,10,10
0,128,1,1,10,20,10,840,90,10,20
0,268435456,1,1,10,10,70,840,30,20,20
0,268435456,1,1,10,10,30,740,10,30,170
0,268435456,1,1,10,20,110,820,10,20,10
0,34359738368,1,1,10,10,10,660,10,290,10
0,16384,1,1,30,80,10,90,10,770,10
0,16384,1,1,10,870,40,50,10,10,10
0,268435456,1,1,10,10,20,610,10,330,10
0,2097152,1,1,10,10,200,60,700,10,10
0,128,1,1,120,20,10,600,20,10,220
0,16384,1,1,20,10,30,60,10,860,10
0,34359738368,1,1,10,10,10,940,10,10,10
0,2097152,1,1,20,20,10,160,760,10,20
0,16384,1,1,600,30,10,130,70,150,10
0,268435456,1,1,10,10,190,740,10,30,10
0,268435456,1,1,10,20,30,880,30,20,10
0,268435456,1,1,10,10,10,870,10,80,10
0,34359738368,1,1,20,50,40,770,10,100,10
0,128,1,1,20,30,10,890,20,10,20
0,128,1,1,20,10,10,890,50,10,10
0,2097152,1,1,10,60,780,60,60,20,10
0,16384,1,1,90,760,20,100,10,10,10
0,16384,1,1,20,40,20,70,30,810,10
0,268435456,1,1,10,10,10,920,10,30,10
0,2097152,1,1,10,110,680,120,50,20,10
0,2097152,1,1,10,40,20,70,840,10,10
0,268435456,1,1,10,20,10,890,40,10,20
0,4398046511104,1,1,10,10,760,190,10,10,10
0,268435456,1,1,10,10,10,920,10,30,10
0,128,1,1,10,20,10,830,90,10,30
0,1,1,1,10,10,10,930,10,10,20
0,34359738368,1,1,50,10,40,830,20,20,30
0,34359738368,1,1,10,10,10,900,10,50,10
0,16384,1,1,20,830,10,70,20,40,10
0,1,1,1,10,10,10,790,20,10,150
0,268435456,1,1,10,20,10,880,40,30,10
0,268435456,1,1,10,80,20,840,10,30,10
0,4398046511104,1,1,10,10,170,780,10,10,10
0,16384,1,1,110,10,10,50,20,770,30
0,268435456,1,1,10,10,20,890,20,40,10
0,1,1,1,10,10,10,930,20,10,10
0,268435456,1,1,10,20,10,930,10,10,10
0,2097152,1,1,10,130,50,60,720,20,10
0,16384,1,1,30,10,10,90,10,840,10
0,1,1,1,80,30,10,800,10,10,60
0,128,1,1,10,30,10,890,40,10,10
0,268435456,1,1,20,290,30,600,20,20,20
0,2097152,1,1,20,20,760,70,110,10,10
0,128,1,1,10,20,10,620,320,10,10
0,128,1,1,30,20,10,890,20,10,20
0,4398046511104,1,1,10,10,10,930,20,10,10
0,2097152,1,1,10,280,30,150,510,10,10
0,2097152,1,1,10,40,30,130,740,40,10
0,16384,1,1,30,800,10,90,30,30,10
0,4398046511104,1,1,10,10,520,430,10,10,10
0,4398046511104,1,1,10,10,830,120,10,10,10
0,2097152,1,1,10,50,570,70,270,20,10
0,268435456,1,1,10,20,50,880,10,20,10
0,1,1,1,80,10,40,760,90,10,10
0,268435456,1,1,10,10,100,760,70,40,10
0,16384,1,1,20,830,30,80,20,10,10
0,16384,1,1,10,850,10,80,30,10,10
0,2097152,1,1,10,20,70,90,780,20,10
0,2097152,1,1,20,10,280,140,530,10,10
0,268435456,1,1,10,30,10,910,10,20,10
0,34359738368,1,1,10,10,10,840,10,110,10
0,1,1,1,50,30,20,860,10,20,10
0,34359738368,1,1,10,10,10,730,10,210,20
