position,mask,active,move#,counts0,counts1,counts2,counts3,counts4,counts5,counts6
0,0,1,0,100,200,500,3400,500,200,100
0,0,1,0,200,300,400,3500,400,100,100
0,0,1,0,200,200,200,3400,400,300,300
0,0,1,0,400,800,500,2400,300,300,300
0,0,1,0,100,400,200,2900,500,600,300
0,0,1,0,200,200,400,2900,700,400,200
0,0,1,0,200,200,400,3200,500,200,300
0,0,1,0,200,200,500,2900,600,400,200
0,0,1,0,100,300,300,3400,300,400,200
0,0,1,0,300,300,300,2900,500,200,500
0,0,1,0,400,200,500,3000,400,200,300
0,0,1,0,200,100,200,3700,200,400,200
0,0,1,0,200,400,300,3100,300,300,400
0,0,1,0,200,300,600,3000,300,300,300
0,0,1,0,200,300,600,3100,300,300,200
0,0,1,0,300,500,300,2900,600,200,200
0,0,1,0,200,100,500,3100,400,400,300
0,0,1,0,100,400,100,3700,200,200,300
0,0,1,0,200,300,100,3600,400,300,100
0,0,1,0,200,200,400,3200,500,300,200
0,0,1,0,200,400,500,2700,700,300,200
0,0,1,0,100,300,300,3500,300,300,200
0,0,1,0,100,300,200,3800,200,300,100
0,0,1,0,200,300,200,3300,700,200,100
0,0,1,0,200,100,700,3000,400,500,100
0,0,1,0,300,800,500,2100,700,400,200
0,0,1,0,200,200,300,3400,500,200,200
0,0,1,0,100,400,700,3000,300,300,200
0,0,1,0,300,200,500,2900,600,200,300
0,0,1,0,200,200,500,3000,700,200,200
0,0,1,0,100,300,400,3200,500,200,300
0,0,1,0,100,300,200,3500,300,500,100
0,0,1,0,100,500,600,2700,400,500,200
0,0,1,0,300,300,800,2500,800,200,100
0,0,1,0,300,400,500,2900,500,200,200
0,0,1,0,300,200,700,2900,400,200,300
0,0,1,0,200,300,100,3200,800,200,200
0,0,1,0,100,300,700,2300,1000,400,200
0,0,1,0,100,200,300,3300,600,300,200
0,0,1,0,100,300,400,3400,300,300,200
0,0,1,0,200,200,600,3400,300,100,200
0,0,1,0,300,300,600,3000,400,300,100
0,0,1,0,100,300,300,3500,300,300,200
0,0,1,0,200,200,300,3400,300,400,200
0,0,1,0,200,300,600,2900,600,200,200
0,0,1,0,300,300,500,3200,400,100,200
0,0,1,0,300,200,500,3400,300,200,100
0,0,1,0,200,400,200,3200,500,200,300
0,0,1,0,400,300,500,2900,600,100,200
0,0,1,0,300,200,500,2700,300,600,400
0,0,1,0,200,400,500,3400,300,100,100
0,0,1,0,300,700,400,2300,400,600,300
0,0,1,0,200,300,500,3000,500,300,200
0,0,1,0,200,300,500,2900,600,400,100
0,0,1,0,300,100,800,2900,300,400,200
0,0,1,0,200,400,500,2700,600,400,200
0,0,1,0,200,200,400,3100,600,300,200
0,0,1,0,200,500,900,2600,300,400,100
0,0,1,0,200,400,400,3400,400,100,100
0,0,1,0,300,400,600,2600,400,400,300
0,0,1,0,300,200,300,3300,300,400,200
0,0,1,0,300,400,300,3400,300,200,100
0,0,1,0,100,400,600,3000,400,300,200
0,0,1,0,400,200,600,3200,200,300,100
0,0,1,0,400,400,500,2500,600,400,200
0,0,1,0,200,100,600,2900,300,700,200
0,0,1,0,100,400,300,3000,700,400,100
0,0,1,0,200,200,500,2600,800,300,400
0,0,1,0,300,300,400,2900,500,400,200
0,0,1,0,200,200,300,3500,200,200,400
0,0,1,0,200,100,300,3500,300,400,200
