position,mask,active,move#,counts0,counts1,counts2,counts3,counts4,counts5,counts6
0,0,1,0,200,200,300,3600,400,200,100
0,2097152,1,1,300,400,1300,1500,1100,100,300
2097152,6291456,1,2,200,500,1600,400,1400,500,400
4194304,6307840,1,3,300,2200,200,100,2000,100,100
2113536,6307968,1,4,200,300,300,100,1200,2800,100
4194432,34366046336,1,5,100,100,100,100,4400,100,100
34361851904,34634481792,1,6,200,300,1900,600,800,1000,200
272629888,34634514560,1,7,200,100,3600,300,300,300,200
34361884672,34634580096,1,8,300,100,400,1600,1400,1100,100
272695424,34642968704,1,9,200,300,2200,400,1500,300,100
34370273280,34643099776,1,10,200,200,1000,2700,200,500,200
272826496,34659876992,1,11,100,200,2000,1700,400,500,100
34387050496,34660139136,1,12,100,100,4000,400,100,200,100
273088640,34660663424,1,13,200,400,100,3700,100,200,300
34387574784,34694217856,1,14,200,100,100,100,400,3800,300
306643072,103413694592,1,15,200,200,100,100,100,3500,800
103107051520,240852648064,1,16,200,100,100,200,100,100,4200
137745596544,4638899159168,1,17,200,2900,100,300,100,500,900
4501153562624,4638899159424,1,18,200,100,100,400,3300,500,400
137745596800,4639436030336,1,19,100,100,100,100,4400,100,100
4501690433536,4640509772160,1,20,200,200,100,100,3800,300,300
138819338624,4642657255808,1,21,100,4000,100,100,300,100,300
4503837917184,4642657256320,1,22,100,2000,100,200,100,2100,400
138819339136,4917535163264,1,23,100,4200,100,100,100,300,100
